id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
88,Guadeloupe,dependent,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,,2025-09-07 15:57:35,0,0,country
89,Guam,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/40px-Flag_of_Guam.svg.png,,2025-09-07 15:57:35,0,0,country
90,Guatemala,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/40px-Flag_of_Guatemala.svg.png,,2025-09-07 15:57:35,0,0,country
91,Guernsey,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Guernsey.svg/40px-Flag_of_Guernsey.svg.png,,2025-09-07 15:57:35,0,0,country
92,Guinea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/40px-Flag_of_Guinea.svg.png,,2025-09-07 15:57:35,0,0,country
93,Guinea-Bissau,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/40px-Flag_of_Guinea-Bissau.svg.png,,2025-09-07 15:57:35,0,0,country
94,Guyana,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/40px-Flag_of_Guyana.svg.png,,2025-09-07 15:57:35,0,0,country
95,Haiti,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/40px-Flag_of_Haiti.svg.png,,2025-09-07 15:57:35,0,0,country
96,Honduras,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Honduras_%282022%E2%80%93present%29.svg/40px-Flag_of_Honduras_%282022%E2%80%93present%29.svg.png,,2025-09-07 15:57:35,0,0,country
97,Hong Kong,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/40px-Flag_of_Hong_Kong.svg.png,,2025-09-07 15:57:35,0,0,country
